name,raw_name,id,genres
Potions,POTIONS,1uOATWKrMTtQyKaKpbdt76,['downtempo bass']
Pushloop,PUSHLOOP,4FgEa4SLDSV3oGpaFvlZi9,['experimental bass']
R.O,R.O,7HjjdBLZHCZEIjlLbGVLi0,['belgian pop']
REDRUM,REDRUM,3q7zZ6h76GDupZscJzFuU7,[]
Resonant Language,RESONANT LANGUAGE,7Hr2Po3TPTmzqtyB12OX89,['experimental bass']
Revazz,REVAZZ,3zz44G0jfFiUGVCvad9GSL,[]
Rohaan,ROHAAN,7FqSU53yVH1SQAtLZ63DGS,['uk dnb']
SAKA,SAKA,45xcyVA7vepwZl4kVxsHPC,[]
Skeler,SKELER,7ks4LdnBvp6HUsmVJiKgsB,"['drift phonk', 'wave']"
Sortof Vague,SORTOF VAGUE,6jsOdWldrOsFPiTbetsz7L,[]
subtoll,SUBTOLL,2zNvxY3Us2BqUPOTw7OP2G,[]
sumthin sumthin,SUMTHIN SUMTHIN,2a8ez0A2owcYhFki9860sm,"['future bass', 'vapor twitch']"
Sync24,SYNC24,7vDU6uihlGczxakSxUMrOb,['psychill']
Ternion Sound,TERNION SOUND,5sZGZj7wvhCwlG6KBvG90a,"['classic dubstep', 'deep dubstep']"
The Automatic,THE AUTONYM,7IZcg74X6CKzf0SfRliRrB,['welsh rock']
The Glitch Mob,THE GLITCH MOB,3a9qv6NLHnsVxJUtKOMHvD,"['glitch', 'glitch hop', 'indietronica']"
The Widdler,THE WIDDLER,3SCAEdZEfpatrvdFeDLD2p,"['classic dubstep', 'glitch hop']"
Thought Process,THOUGHT PROCESS,3proICVogPsl2OeB7S2ZUC,['downtempo bass']
Tunic,TUNIC,51M2l9r2xX31tNp0SA4WZf,['manitoba indie']
VibeSquaD,VIBESQUAD,5lle26yzjJ832LNygnbvPW,"['downtempo bass', 'glitch hop']"
XL,XL,5eWRNK24B0BOh4wiCge5IH,[]
Zebbler Encanti Experience,ZEBBLER ENCANTI EXPERIENCE,1LJR81mjpmBkowZy1MPwQg,"['experimental bass', 'glitch hop', 'psybass']"
